694.969 N N48 7
695.848 N N48 7
696.707 N N48 7
697.59 N N48 7
698.473 N N48 7
699.359 N N48 7
700.238 N N48 7
701.113 N N48 7
701.949 N N48 7
702.797 N N48 7
703.633 N N48 7
704.434 N N48 7
705.281 N N48 7
706.117 N N48 7
706.941 N N48 7
707.789 N N48 7
708.609 N N48 7
709.43 N N48 7
710.262 N N48 7
711.102 N N48 7
711.906 N N48 7
712.758 N N48 7
713.621 N N48 7
714.5 N N48 7
715.344 N N48 7
716.23 N N48 7
717.129 N N48 7
718.023 N N48 7
718.859 N N48 7
719.734 N N48 7
720.609 N N48 7
721.473 N N48 7
722.258 N N36 8
723.012 N N36 8
723.816 N N48 7
724.613 N N48 7
725.43 N N48 7
726.219 N N36 8
727.035 N N48 7
727.871 N N48 7
728.738 N N48 7
729.609 N N48 7
730.48 N N48 7
731.371 N N48 7
732.258 N N48 7
733.141 N N48 7
733.992 N N48 7
734.836 N N48 7
735.672 N N48 7
736.473 N N36 8
737.305 N N48 7
738.133 N N48 7
738.93 N N36 8
739.75 N N48 7
740.586 N N48 7
741.43 N N48 7
742.25 N N48 7
743.105 N N48 7
743.953 N N48 7
744.82 N N48 7
745.668 N N48 7
746.527 N N48 7
747.391 N N48 7
748.234 N N48 7
749.02 N N48 7
749.848 N N48 7
750.672 N N48 7
751.5 N N48 7
752.348 N N48 7
753.141 N N48 7
753.957 N N48 7
754.77 N N48 7
755.555 N N36 8
756.367 N N48 7
757.152 N N48 7
757.953 N N48 7
758.797 N N48 7
759.664 N N36 8
760.52 N N48 7
761.418 N N48 7
762.34 N N48 7
763.27 N N48 7
764.199 N N48 7
765.027 N N36 8
765.883 N N48 7
766.734 N N48 7
767.559 N N48 7
768.418 N N48 7
769.301 N N48 7
770.195 N N48 7
771.105 N N48 7
771.953 N N36 8
772.809 N N48 7
773.68 N N48 7
774.559 N N48 7
775.43 N N48 7
776.316 N N48 7
777.211 N N48 7
778.105 N N48 7
779 N N48 7
779.879 N N48 7
780.758 N N48 7
781.629 N N48 7
782.484 N N48 7
783.352 N N48 7
784.207 N N48 7
785.059 N N48 7
785.895 N N48 7
786.742 N N36 8
787.535 N N36 8
788.34 N N48 7
789.133 N N48 7
789.922 N N48 7
790.699 N N48 7
791.508 N N48 7
792.324 N N48 7
793.113 N N36 8
793.93 N N48 7
794.758 N N48 7
795.586 N N48 7
796.383 N N48 7
797.238 N N48 7
798.094 N N48 7
798.914 N N48 7
799.688 N N36 8
800.527 N N48 7
801.352 N N48 7
802.148 N N48 7
802.949 N N48 7
803.727 N N48 7
804.527 N N48 7
805.352 N N48 7
806.156 N N36 8
807.023 N N48 7
807.902 N N48 7
808.793 N N48 7
809.641 N N36 8
810.516 N N48 7
811.379 N N48 7
812.203 N N48 7
813.063 N N48 7
